"","importance","Ens_id","description","Category"
"ENSG00000164330",0.181183599814538,"EBF1","EBF transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3126]","High"
"ENSG00000185686",0.117158330714992,"PRAME","PRAME nuclear receptor transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:9336]","High"
"ENSG00000162733",0.0760348540855064,"DDR2","discoidin domain receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:2731]","Medium"
"ENSG00000196550",0.0552055115825268,"FAM72A","family with sequence similarity 72 member A [Source:HGNC Symbol;Acc:HGNC:24044]","Medium"
"ENSG00000004939",0.049232742174437,"SLC4A1","solute carrier family 4 member 1 (Diego blood group) [Source:HGNC Symbol;Acc:HGNC:11027]","Medium"
"ENSG00000215784",0.0433306300974491,"FAM72D","family with sequence similarity 72 member D [Source:HGNC Symbol;Acc:HGNC:33593]","Medium"
"ENSG00000154016",0.0365443463431242,"GRAP","GRB2 related adaptor protein [Source:HGNC Symbol;Acc:HGNC:4562]","Medium"
"ENSG00000212464",0.0265169182338129,"SNORA12","small nucleolar RNA, H/ACA box 12 [Source:HGNC Symbol;Acc:HGNC:32600]","Small"
"ENSG00000153944",0.0200500629686884,"MSI2","musashi RNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:18585]","Small"
"ENSG00000183474",0.0197765952946391,"GTF2H2C","GTF2H2 family member C [Source:HGNC Symbol;Acc:HGNC:31394]","Small"
"ENSG00000157985",0.0186235058377319,"AGAP1","ArfGAP with GTPase domain, ankyrin repeat and PH domain 1 [Source:HGNC Symbol;Acc:HGNC:16922]","Small"
"ENSG00000169994",0.0139944085552763,"MYO7B","myosin VIIB [Source:HGNC Symbol;Acc:HGNC:7607]","Small"
"ENSG00000185304",0.0133336704786793,"RGPD2","RANBP2 like and GRIP domain containing 2 [Source:HGNC Symbol;Acc:HGNC:32415]","Small"
"ENSG00000012779",0.0113730219087658,"ALOX5","arachidonate 5-lipoxygenase [Source:HGNC Symbol;Acc:HGNC:435]","Small"
"ENSG00000075884",0.00966498103669505,"ARHGAP15","Rho GTPase activating protein 15 [Source:HGNC Symbol;Acc:HGNC:21030]","Small"
"ENSG00000102879",0.00843057354820646,"CORO1A","coronin 1A [Source:HGNC Symbol;Acc:HGNC:2252]","Small"
"ENSG00000176771",0.00793836699386064,"NCKAP5","NCK associated protein 5 [Source:HGNC Symbol;Acc:HGNC:29847]","Small"
"ENSG00000153283",0.00696341501823154,"CD96","CD96 molecule [Source:HGNC Symbol;Acc:HGNC:16892]","Small"
"ENSG00000162849",0.00547811074469547,"KIF26B","kinesin family member 26B [Source:HGNC Symbol;Acc:HGNC:25484]","Small"
"ENSG00000206337",0.00541468755239456,"HCP5","HLA complex P5 [Source:HGNC Symbol;Acc:HGNC:21659]","Small"
"ENSG00000166086",0.00515257103113342,"JAM3","junctional adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:15532]","Small"
"ENSG00000162747",0.00488341865056885,"FCGR3B","Fc gamma receptor IIIb [Source:HGNC Symbol;Acc:HGNC:3620]","Small"
"ENSG00000109321",0.00482513248328686,"AREG","amphiregulin [Source:HGNC Symbol;Acc:HGNC:651]","Small"
"ENSG00000229676",0.00437387668965541,"ZNF492","zinc finger protein 492 [Source:HGNC Symbol;Acc:HGNC:23707]","Small"
"ENSG00000049540",0.00435047950177221,"ELN","elastin [Source:HGNC Symbol;Acc:HGNC:3327]","Small"
"ENSG00000144218",0.00380157291309233,"AFF3","ALF transcription elongation factor 3 [Source:HGNC Symbol;Acc:HGNC:6473]","Small"
"ENSG00000114812",0.00370232510386129,"VIPR1","vasoactive intestinal peptide receptor 1 [Source:HGNC Symbol;Acc:HGNC:12694]","Small"
"ENSG00000182487",0.00366131733440198,"NCF1B","neutrophil cytosolic factor 1B pseudogene [Source:HGNC Symbol;Acc:HGNC:32522]","Small"
"ENSG00000150764",0.00363967642294864,"DIXDC1","DIX domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23695]","Small"
"ENSG00000107779",0.00361276128603057,"BMPR1A","bone morphogenetic protein receptor type 1A [Source:HGNC Symbol;Acc:HGNC:1076]","Small"
"ENSG00000137731",0.00341870393433353,"FXYD2","FXYD domain containing ion transport regulator 2 [Source:HGNC Symbol;Acc:HGNC:4026]","Small"
"ENSG00000066279",0.00336388264054216,"ASPM","assembly factor for spindle microtubules [Source:HGNC Symbol;Acc:HGNC:19048]","Small"
"ENSG00000214826",0.00308154299376136,"DDX12P","DEAD/H-box helicase 12, pseudogene [Source:HGNC Symbol;Acc:HGNC:2737]","Small"
"ENSG00000066923",0.00300449375917641,"STAG3","STAG3 cohesin complex component [Source:HGNC Symbol;Acc:HGNC:11356]","Small"
"ENSG00000049130",0.00296784886313281,"KITLG","KIT ligand [Source:HGNC Symbol;Acc:HGNC:6343]","Small"
"ENSG00000169083",0.00272386504884042,"AR","androgen receptor [Source:HGNC Symbol;Acc:HGNC:644]","Small"
"ENSG00000150961",0.00266007699890681,"SEC24D","SEC24 homolog D, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10706]","Small"
"ENSG00000105750",0.00228260044077537,"ZNF85","zinc finger protein 85 [Source:HGNC Symbol;Acc:HGNC:13160]","Small"
"ENSG00000143126",0.00213265389606074,"CELSR2","cadherin EGF LAG seven-pass G-type receptor 2 [Source:HGNC Symbol;Acc:HGNC:3231]","Small"
"ENSG00000146938",0.00201321933906257,"NLGN4X","neuroligin 4 X-linked [Source:HGNC Symbol;Acc:HGNC:14287]","Small"
"ENSG00000148483",0.00195236046625926,"TMEM236","transmembrane protein 236 [Source:HGNC Symbol;Acc:HGNC:23473]","Small"
"ENSG00000026508",0.00191209722015754,"CD44","CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681]","Small"
"ENSG00000050327",0.00190250022967159,"ARHGEF5","Rho guanine nucleotide exchange factor 5 [Source:HGNC Symbol;Acc:HGNC:13209]","Small"
