"Gene Name","Ensembl ID","Chromosome","Gene Type","General Gene Type","Mechanism of Origin","General Mechanism of Origin","Reference(s)"
"BOLA2","ENSG00000183336","16","protein_coding","protein-coding","lineage-specific segmental duplication","gene amplification","4,6"
"CD24","ENSG00000272398","6","protein_coding","protein-coding","lost in chimpanzee","lost in chimpanzee","26"
"DEFA1B","ENSG00000240247","8","protein_coding","protein-coding","human-specific gene","human-specific gene (undefined feature)","25"
"DEFA3","ENSG00000239839","8","protein_coding","protein-coding","human-specific gene","human-specific gene (undefined feature)","25"
"EIF3CL","ENSG00000205609","16","protein_coding","protein-coding","human-specific gene duplication","gene amplification","7"
"FAM156A","ENSG00000268350","X","protein_coding","protein-coding","human-specific gene duplication","gene amplification","7"
"FXYD2","ENSG00000137731","11","protein_coding","protein-coding","human-specific gene duplication or expansion","gene amplification","5"
"IL9R","ENSG00000124334","X","protein_coding","protein-coding","human-specific gene duplication onto Y pseudoautosomal region","gene amplification","31"
"MRC1","ENSG00000260314","10","protein_coding","protein-coding","human-specific gene duplication","gene amplification","7,26"
"NBPF15","ENSG00000266338","1","protein_coding","protein-coding","human-specific gene amplification","gene amplification","47,24"
"OR4F17","ENSG00000176695","19","protein_coding","protein-coding","human-specific gene duplication","gene amplification","9"
"PLGLB1","ENSG00000183281","2","protein_coding","protein-coding","human-specific gene","human-specific gene (undefined feature)","6"
"SERF1A","ENSG00000172058","5","protein_coding","protein-coding","human-specific copy number variation","gene amplification","23"
"SLX1A","ENSG00000132207","16","protein_coding","protein-coding","human-specific gene duplication or expansion","gene amplification","5,23"
"SLX1B-SULT1A4","ENSG00000260280","16","processed_transcript","long non-coding","human-specific gene","human-specific gene (undefined feature)","6"
"SRGAP2D","ENSG00000270872","1","unprocessed_pseudogene","pseudogene","human-specific gene duplication","gene amplification","16,50"
